Track_Name,Track_ID,Added_On,Release_Date,Artists,Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
A Different Way (with Lauv),1YMBg7rOjxzbya0fPOYfNX,2019-05-26T06:17:03Z,2017-09-21,"DJ Snake,Lauv",65,198285,0.784,0.757,8,-3.912,1,0.0384,0.495,1.18e-06,0.142,0.587,104.996
Love No More,0E8WJOFs2eWD67USh7C6Qd,2019-05-26T06:16:56Z,2018-08-31,"Loud Luxury,anders",59,168635,0.766,0.674,0,-6.245,1,0.0538,0.0217,5.87e-05,0.258,0.214,121.012
Feel Good (feat. Daya),0Ev562zA4pmUsBqjxsxxdx,2019-05-20T16:10:55Z,2017-03-03,"Gryffin,ILLENIUM",70,248156,0.625,0.707,2,-4.761,1,0.0337,0.22,0.0,0.213,0.479,138.064
Force,4YhITuwINLCfXYB2WCXbCZ,2019-03-31T16:32:38Z,2015-04-02,Alan Walker,62,240005,0.597,0.544,1,-8.868,0,0.062,0.00192,0.0562,0.07,0.263,105.014
Sky,5GDpODnukzZZIXXjPWOrDQ,2019-03-31T16:26:44Z,2017-06-09,Insomniac Records,57,203385,0.696,0.84,7,-5.196,0,0.0433,0.000202,0.801,0.159,0.177,130.024
Side Effects,0bGLvHd0ApdT4t0shCfpzG,2019-03-31T16:26:25Z,2018-12-14,The Chainsmokers,61,172746,0.669,0.711,8,-6.758,1,0.033,0.00217,0.0,0.466,0.544,110.01
REMEDY,6jreFSOTUAViWjKyzOC4Kg,2019-03-31T16:22:31Z,2018-08-31,Alesso,68,190295,0.601,0.775,0,-4.612,1,0.0473,0.269,0.0,0.0883,0.483,119.964
Lie To Me (feat. Julia Michaels),6GzApXoBQiiAjak3tOQfV3,2019-03-31T16:07:03Z,2018-12-21,5 Seconds of Summer,69,149877,0.611,0.52,0,-5.445,1,0.0346,0.0132,0.0,0.105,0.771,159.927
Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,2019-03-31T15:56:22Z,2018-10-24,"Ellie Goulding,Diplo,Swae Lee",70,182623,0.575,0.758,1,-5.029,0,0.0618,0.0954,0.0,0.394,0.493,144.107
Give It To Me Twice (feat. Sean Kingston & Rich The Kid),6Bloc290MLwdBYu3mukiXw,2019-03-29T20:47:31Z,2016-08-12,Party Favor,44,176470,0.629,0.814,0,-5.757,1,0.0309,0.0165,0.0,0.123,0.53,102.034
Levels,6dfXwa0dI1sBm4CIePuOYM,2019-03-29T20:45:17Z,2011-01-01,Avicii,0,338866,0.601,0.834,1,-6.573,0,0.0358,0.0295,0.888,0.34,0.352,125.991
I Found You (with Calvin Harris),1kQhi22kyluRCnIPAXtxEZ,2019-03-29T20:41:04Z,2018-12-07,benny blanco,56,189165,0.79,0.865,6,-4.159,1,0.0438,0.0264,0.0892,0.24,0.362,122.99
Sun Is Shining,4b2tcjrG1qUkSdsqEFP2dB,2019-03-29T20:40:46Z,2017-07-28,"Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",71,254653,0.467,0.757,2,-3.01,1,0.0517,0.0866,0.0,0.0742,0.383,131.993
"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,2019-03-29T20:40:13Z,2017-09-08,"Hailee Steinfeld,Alesso",77,174800,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07
I Love You,2GISbjz3wIJX7S4iv1XXAy,2019-03-29T20:36:06Z,2017-07-28,"Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",58,190986,0.643,0.868,0,-4.03,1,0.15,0.3,0.0,0.119,0.71,114.895
Heroes (we could be),3zU9rdflI65tK4dkkNSp77,2019-03-29T20:35:01Z,2015-05-26,Alesso,71,210013,0.503,0.748,5,-4.124,1,0.0619,0.0305,0.0,0.343,0.356,125.896
Happy Now,14sOS5L36385FJ3OL8hew4,2019-03-29T20:34:51Z,2018-10-26,"Kygo,Sandro Cavazza",72,211362,0.693,0.575,9,-6.998,1,0.0801,0.374,0.0,0.252,0.492,117.999
Without You (feat. Sandro Cavazza),6Pgkp4qUoTmJIPn7ReaGxL,2019-03-29T20:31:12Z,2017-08-10,Avicii,78,181672,0.662,0.858,2,-4.844,1,0.0428,0.00163,0.0,0.0456,0.295,133.993
On My Way,5zATs59c3mikRxLK6ODE0p,2019-03-29T20:30:57Z,2017-07-28,"Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",57,264800,0.646,0.814,0,-4.547,1,0.0433,0.0583,6.42e-05,0.118,0.326,127.978
Ten Feet Tall,2ldAdghnrO34HPcZ0IWfTu,2019-03-29T20:30:41Z,2014-01-01,Afrojack,64,229149,0.523,0.861,0,-3.447,1,0.0644,0.0336,0.0,0.144,0.346,127.049
If I Lose Myself - Alesso vs OneRepublic,3ScJy88F8KqGDfWu8XJhHx,2019-03-29T20:20:05Z,2014-01-01,OneRepublic,68,215186,0.519,0.754,2,-5.689,1,0.0402,0.258,3.75e-06,0.139,0.16,125.975
Save The World,65hRZOQkVjmBdusz1N7aOv,2019-03-29T20:19:55Z,2011-05-13,Swedish House Mafia,66,213337,0.507,0.665,0,-7.598,1,0.0474,0.0144,0.0,0.0759,0.4,126.879
Another Life,0AOEd0Zw22aTE8LzsS4EMg,2019-03-29T20:16:08Z,2017-04-28,"Afrojack,David Guetta",55,208689,0.416,0.771,7,-3.183,0,0.054,0.178,1.57e-06,0.501,0.493,144.873
This Is What You Came For (feat. Rihanna),0azC730Exh71aQlOt9Zj3y,2019-03-29T20:12:22Z,2016-04-29,Calvin Harris,81,222160,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962
First Time,2Gl0FzuLxflY6nPifJp5Dr,2019-03-29T20:11:42Z,2017-04-28,"Kygo,Ellie Goulding",65,193511,0.633,0.592,0,-7.245,0,0.112,0.197,0.0,0.099,0.679,90.066
All I Need (with Gucci Mane),2OSsMwCiZPC44tJ4OPVSZF,2019-03-29T19:40:03Z,2018-05-04,"Dimitri Vegas & Like Mike,Gucci Mane",46,185264,0.492,0.801,11,-4.204,0,0.0567,0.101,0.0,0.0798,0.329,150.036
Dancing Alone,5xzzxWj8a1YBbNZhNLqWuQ,2019-03-29T19:30:18Z,2018-06-29,"Axwell /\ Ingrosso,RØMANS",56,253770,0.699,0.94,8,-5.969,0,0.208,0.0853,0.0,0.336,0.652,122.079
Thunderclouds - Lost Frequencies Remix,5xQyeo1rXqNAMgZhFXv8z7,2019-03-29T19:26:52Z,2018-10-26,"Sia,Diplo,Labrinth",56,198493,0.521,0.692,7,-6.542,1,0.0532,0.0892,0.000287,0.057,0.398,124.059
Keep Our Love Alive,405G0eZIVu9mcG3o0VlGKa,2019-03-29T19:26:42Z,2014-01-01,Afrojack,44,252997,0.59,0.821,0,-5.369,0,0.0693,0.158,0.00022,0.199,0.117,129.027
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,2019-03-26T13:09:59Z,2018-12-14,Various Artists,83,158040,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911
Fractures,4G3IXyVRxSx5lLhUvv3fu3,2019-03-26T13:06:37Z,2017-09-21,ILLENIUM,55,245250,0.41,0.711,4,-3.064,1,0.0432,0.373,0.00179,0.139,0.266,159.837
